title,description,timeLimit,passingScore,gradeName,subjectName,topicName,question,points,order,option1_text,option1_isCorrect,option1_explanation,option2_text,option2_isCorrect,option2_explanation,option3_text,option3_isCorrect,option3_explanation,option4_text,option4_isCorrect,option4_explanation
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Our daily wears,What do we wear at home?,1,1,Pajamas,TRUE,We wear pajamas at home,Jeans,FALSE,Jeans are not worn at home,Coat,FALSE,Coat is for winter,Uniform,FALSE,Uniform is for school
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Our daily wears,What do we wear in winter?,1,2,Sweater,TRUE,Sweaters keep us warm,Shorts,FALSE,Shorts are for summer,T-shirt,FALSE,Not warm enough,Cap,FALSE,Cap is only for head
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Our daily wears,What do we wear to school?,1,3,Uniform,TRUE,Uniform is worn at school,Saree,FALSE,Adults wear saree,Sandals,FALSE,Not full dress,Cap,FALSE,Only headwear
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Our daily wears,What do we wear during rain?,1,4,Raincoat,TRUE,Raincoat keeps us dry,T-shirt,FALSE,T-shirt gets wet,Shorts,FALSE,Doesnt protect from rain,Scarf,FALSE,Only covers neck
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Our daily wears,What covers our feet?,1,5,Shoes,TRUE,Shoes are worn on feet,Shirt,FALSE,Worn on upper body,Hat,FALSE,Worn on head,Scarf,FALSE,Used for neck
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,My body,How many eyes do we have?,1,1,Two,TRUE,We have two eyes,One,FALSE,Thats not right,Three,FALSE,Nope,Four,FALSE,Too many
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,My body,Which part helps us to smell?,1,2,Nose,TRUE,Nose helps us smell,Ear,FALSE,Ears help us hear,Eye,FALSE,Eyes help us see,Hand,FALSE,Hands dont smell
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,My body,Which part helps us hear?,1,3,Ears,TRUE,Ears help us hear,Leg,FALSE,Legs are for walking,Nose,FALSE,Nose is for smelling,Hand,FALSE,Not used for hearing
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,My body,Which part helps us eat?,1,4,Mouth,TRUE,We use mouth to eat,Eyes,FALSE,Eyes dont eat,Ears,FALSE,Ears dont eat,Nose,FALSE,Nose doesnt eat
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,My body,What helps us walk?,1,5,Legs,TRUE,Legs help us walk,Hands,FALSE,Not used for walking,Nose,FALSE,Not for walking,Eyes,FALSE,Eyes are for seeing
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,5 senses,Which body part helps us see?,1,1,Eyes,TRUE,Eyes help us see,Ears,FALSE,Ears help hear,Nose,FALSE,Nose smells,Mouth,FALSE,Mouth is for eating
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,5 senses,Which body part helps us hear?,1,2,Ears,TRUE,Ears help us hear,Legs,FALSE,Legs walk,Eyes,FALSE,Eyes see,Hand,FALSE,Hands touch
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,5 senses,Which body part helps us smell?,1,3,Nose,TRUE,Nose helps smell,Eyes,FALSE,Eyes dont smell,Ears,FALSE,Ears dont smell,Hands,FALSE,Hands touch
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,5 senses,Which body part helps us taste?,1,4,Tongue,TRUE,Tongue tastes food,Nose,FALSE,Nose smells,Eye,FALSE,Eye sees,Ear,FALSE,Ear hears
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,5 senses,Which body part helps us feel?,1,5,Skin,TRUE,Skin helps us feel,Eyes,FALSE,Eyes see,Nose,FALSE,Nose smells,Mouth,FALSE,Mouth eats
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Magic words,What do we say after receiving a gift?,1,1,Thank you,TRUE,We say thank you after gifts,Sorry,FALSE,Not for gifts,Please,FALSE,We use to request,Hello,FALSE,We say to greet
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Magic words,What do we say when we hurt someone?,1,2,Sorry,TRUE,We say sorry,Thank you,FALSE,Not suitable,Please,FALSE,Not correct,Hi,FALSE,Not suitable
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Magic words,What do we say when we need help?,1,3,Please,TRUE,We use please to request,Thanks,FALSE,Thanks is for after,Hello,FALSE,Hello is greeting,Bye,FALSE,Bye is for goodbye
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Magic words,What do we say when we meet someone?,1,4,Hello,TRUE,Hello is a greeting,Sorry,FALSE,Not used to greet,Thank you,FALSE,Not a greeting,Please,FALSE,Used for request
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Magic words,What do we say when leaving?,1,5,Goodbye,TRUE,We say goodbye when leaving,Thanks,FALSE,Not for leaving,Hello,FALSE,Thats for arriving,Sorry,FALSE,Not related
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Keeping clean,What do we use to brush our teeth?,1,1,Toothbrush,TRUE,We use a toothbrush,Comb,FALSE,Comb is for hair,Spoon,FALSE,Not used for brushing,Soap,FALSE,Used for washing
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Keeping clean,What do we use to take a bath?,1,2,Soap,TRUE,Soap cleans our body,Toothpaste,FALSE,Used for teeth,Comb,FALSE,Used for hair,Spoon,FALSE,Not for cleaning
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Keeping clean,What do we use to wipe our hands?,1,3,Towel,TRUE,Towel wipes hands,Bottle,FALSE,Not for wiping,Comb,FALSE,For hair,Sock,FALSE,For feet
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Keeping clean,What do we use to cut nails?,1,4,Nail cutter,TRUE,Nail cutter cuts nails,Knife,FALSE,Not safe,Pen,FALSE,Not for nails,Comb,FALSE,For hair
EVS Quiz,Basic quiz for LKG students,5,3,LKG,EVS,Keeping clean,What do we use to wash hands?,1,5,Soap,TRUE,Soap washes hands,Towel,FALSE,Used after washing,Shoes,FALSE,Not related,Brush,FALSE,Used for teeth
